[criteria] 423/432 (484 s; ETA 10 s)
[criteria] 424/432 (487 s; ETA 9 s)
[criteria] 425/432 (502 s; ETA 8 s)
[criteria] 426/432 (503 s; ETA 7 s)
[criteria] 427/432 (504 s; ETA 6 s)
[criteria] 428/432 (508 s; ETA 5 s)
[criteria] 429/432 (525 s; ETA 4 s)
[criteria] 430/432 (525 s; ETA 2 s)
[criteria] 431/432 (526 s; ETA 1 s)
[criteria] 432/432 (530 s; ETA 0 s)
[criteria] 432 conditions written; false level-dependent rate (plain, beta > 0, true interaction 0) max 0.241; equivalence power at a true interaction of 0 ranges 0.000-1.000
