cond,i,M,S,R,s_ma,rho,beta,gpath,e0_p,e0_coef,e0_ok,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,e2_est,e2_lo,e2_hi,e2_reject,e2_covers,e3_delta,e3_lo,e3_hi,e3_reject,t_e1
M6_S10_R1_sma0.03_rho0.0_beta0.0,30,6,10,1,0.03,0.0,0.0,0.04,0.1589297888058201,-0.008916752621129882,True,0.41143733370255753,-0.0104801508851075,0.012759403113629475,True,True,0.000732551472212001,0.0022777351449925925,0.0004151519562270554,0.0014093873393873442,-0.010480150885106553,-0.033856648247473295,0.013084937338078924,False,True,-0.12777777777777777,-0.3295138888888889,0.07336111111111106,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,31,6,10,1,0.03,0.0,0.0,0.04,0.0018755725250491893,-0.017071690590039545,True,0.4037177333063571,-0.01234030940391923,0.014778814440876555,True,True,0.0008863255781166372,0.003840150814666075,0.0005666075110219024,0.0009727393012739108,-0.012340309403917497,-0.04344930799666567,0.01684380006488456,False,True,-0.13944444444444448,-0.34502777777777777,0.05722222222222223,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,32,6,10,1,0.03,0.0,0.0,0.04,0.42586906405866465,-0.004007499744138559,True,0.6452084843944871,-0.005826553897223421,0.012654625887644672,True,True,0.0008300657608333019,0.0021713615348383005,0.00039741209298542094,0.001665909839062978,-0.005826553897223714,-0.035601983502650446,0.01957111459989201,False,True,-0.09166666666666662,-0.30444444444444446,0.10447222222222215,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,33,6,10,1,0.03,0.0,0.0,0.04,0.589790077520028,0.0033519973767068014,True,0.7564330867422786,0.0041347070318547416,0.01333053371969712,True,True,0.0008797810172848036,0.0016499567418313667,0.0004451312860274657,0.0024427405906642164,0.0041347070318545195,-0.023130611453429695,0.03233410530891362,False,True,0.007222222222222241,-0.18723611111111108,0.20504166666666665,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,34,6,10,1,0.03,0.0,0.0,0.04,0.0006247983338923007,0.01851614912296015,True,0.09012282211129527,0.016645396153018823,0.009821740309419213,True,True,0.0008594348518279826,0.000517536412892186,0.0002034562629342089,0.0018052675599240298,0.01664539615301897,-0.003316874394640676,0.039252292724314235,False,True,0.20222222222222225,-0.003361111111111131,0.4028055555555555,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,35,6,10,1,0.03,0.0,0.0,0.04,0.8625154171422861,0.0009291818176854663,True,0.8698431221577789,0.002063077931328251,0.01259066377181618,True,True,0.0009714806850634751,0.0020959835235320767,0.0003784263741384259,0.001067702861924944,0.0020630779313282905,-0.026699966715714743,0.031203615472175785,False,True,0.030555555555555503,-0.17675000000000002,0.2334583333333332,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,36,6,10,1,0.03,0.0,0.0,0.04,0.4959299605188182,-0.0035534076020562115,True,0.8221786587954678,-0.0031276748868515067,0.01391662925451076,True,True,0.0008494379021836087,0.0017174091051614026,0.000496073919204111,0.0010531389968219146,-0.0031276748868506936,-0.025095241015693513,0.01806327481195772,False,True,-0.009444444444444422,-0.21611111111111114,0.19501388888888888,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,37,6,10,1,0.03,0.0,0.0,0.04,0.9084263528569924,0.0006880090086640241,True,0.8738000787991357,0.0022826179603333174,0.014371139594392998,True,True,0.0009513590297811104,0.00149253355728891,0.0005244530567464751,0.0020901182774022424,0.002282617960333138,-0.027553676301044883,0.03255651911710621,False,True,0.044999999999999984,-0.16112500000000005,0.25615277777777773,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,38,6,10,1,0.03,0.0,0.0,0.04,0.2753004572625182,-0.005852885956490699,True,0.7182503820406294,-0.004282793824427203,0.011870333588804911,True,True,0.0009450960849915433,0.0016546671500785766,0.00032820485002939785,0.0012675790607416123,-0.0042827938244279955,-0.027248062852593145,0.024832386908605047,False,True,-0.0822222222222222,-0.29225,0.11780555555555551,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,39,6,10,1,0.03,0.0,0.0,0.04,0.49918188403570896,-0.0039248695832250985,True,0.7735271032122328,-0.0033234291980698987,0.011549133247627085,True,True,0.000985862414048547,0.0002967127391760372,0.00030156119490947934,0.0015170505453750449,-0.0033234291980693918,-0.02759790124462604,0.02000323171130462,False,True,-0.014999999999999958,-0.21668055555555552,0.19891666666666663,False,0.0
