cond,i,M,S,R,s_ma,rho,beta,e0_p,e0_coef,e0_ok,t_e0,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,e1_vc_path_arm,t_e1,e2_est,e2_lo,e2_hi,e2_reject,e2_covers,e3_delta,e3_lo,e3_hi,e3_reject
M6_S5_R3_sma0.03_rho0.0_beta0.05,98,6,5,3,0.03,0.0,0.05,1.014174814852131e-67,0.05708927279047317,True,1.3351473808288574,0.0013513025934634303,0.056236731696508835,0.017547352791301006,True,True,0.0008953565724313592,0.003124376293328073,0.00071074613899286,7.97008345400374e-05,0.0001277434939934443,1.6138548851013184,0.05623673169650385,0.03668264326965073,0.07499768540407577,True,True,0.4540740740740741,0.30069753086419754,0.5993086419753085,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,99,6,5,3,0.03,0.0,0.05,4.8614332936731677e-42,0.0473600589662066,True,1.5600662231445312,0.0003395250409116866,0.04971879239402812,0.01387586920360816,True,True,0.000904171436909123,0.0010429138669638973,0.0004815129512920191,0.00014484329405204231,2.985682615081276e-05,2.2155332565307617,0.04971879239402612,0.023118218242555433,0.07613577592128977,True,True,0.48839506172839503,0.34641358024691354,0.6252098765432099,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,100,6,5,3,0.03,0.0,0.05,4.493054981236527e-34,0.03942450975203289,True,1.337320327758789,0.018015537195127895,0.04348590536228491,0.018384953459116,False,True,0.0009188535443740406,0.0008535557564454386,6.820864242963827e-06,6.100116828641502e-07,0.0007882848115668699,3.215043067932129,0.043485905362282404,0.031202917972085763,0.05792355337210491,True,True,0.46370370370370373,0.31579012345679014,0.598037037037037,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,101,6,5,3,0.03,0.0,0.05,9.66789519849857e-65,0.05702967199024404,True,1.1753830909729004,1.3297246701381359e-05,0.05721346479978406,0.013136950979613453,False,True,0.0008483113818452796,0.0008512763568124894,0.00041659184689896443,4.871511305066455e-06,3.716042008374906e-05,2.186478853225708,0.05721346479980428,0.040025917220215326,0.07965484184710696,True,True,0.674320987654321,0.5488827160493828,0.7849506172839505,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,102,6,5,3,0.03,0.0,0.05,4.110796463144108e-31,0.041868394125825464,True,0.7106809616088867,0.05572211423401064,0.04193348490227885,0.02191795253473716,False,True,0.0009391267121568467,0.0005580100124881852,0.00022138809506406102,6.798014554701155e-07,0.0009643278228360887,2.3540291786193848,0.04193348490226006,0.01017779042539445,0.07091667899781481,True,True,0.5098765432098766,0.35281481481481486,0.6439506172839506,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,103,6,5,3,0.03,0.0,0.05,6.57023053754415e-53,0.048261623318156636,True,0.867708683013916,1.1936929921251151e-06,0.05080180703619094,0.010460188892032438,False,True,0.0008751520210809327,0.0009485056929400907,0.00012795779056831548,7.658555958449529e-05,0.00011828783027548132,2.1318485736846924,0.050801807036184816,0.0399881344171419,0.06168244341198005,True,True,0.5958024691358024,0.4644135802469136,0.706462962962963,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,104,6,5,3,0.03,0.0,0.05,4.0984538518126535e-54,0.04928430162327352,True,0.6525883674621582,0.005950929367426306,0.044754822677083264,0.01627168218378247,False,True,0.0008851781617047583,0.0030700867700407856,0.0005818220280738006,7.749097586495973e-05,0.0001278908481240256,2.0655739307403564,0.04475482267705484,0.031687783199106756,0.058146424450268464,True,True,0.3891358024691358,0.23801851851851852,0.5440555555555554,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,105,6,5,3,0.03,0.0,0.05,2.5282118817593567e-39,0.04546509590972294,True,0.8955090045928955,0.007823726539432065,0.0428143488476205,0.016098138705154374,True,True,0.0009110629918722173,0.001709302044231813,0.0006772490310416147,0.00011555474489878892,3.2886371231569814e-05,2.6629886627197266,0.04281434884760726,0.019774243389595728,0.0671250924343258,True,True,0.38222222222222224,0.22883333333333336,0.5405,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,106,6,5,3,0.03,0.0,0.05,1.388519859546017e-64,0.06444942900840596,True,0.9085822105407715,0.00012015503343409012,0.0672973303801995,0.017498872042022454,False,True,0.000913615446090549,0.0008317722071371598,0.0008501547524464397,0.00017670768588934642,6.30759948087072e-06,3.404681921005249,0.0672973303802242,0.034168716918086955,0.1025876489447014,True,True,0.6696296296296296,0.5359074074074073,0.783216049382716,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,107,6,5,3,0.03,0.0,0.05,9.874493813282711e-47,0.04627153413118906,True,1.0909607410430908,0.004192341143378514,0.053037615270759744,0.018523153463092697,True,True,0.0009132101799823697,0.0008503119617077656,1.5181781180459291e-05,5.452893192385407e-07,0.0007943826523380972,4.511557102203369,0.05303761527076029,0.040806004725731815,0.0650415526660501,True,True,0.6390123456790124,0.5214814814814814,0.7516111111111112,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,108,6,5,3,0.03,0.0,0.05,1.0241246169410492e-23,0.032446593232615804,True,1.7517814636230469,0.054643260712959586,0.028387877870317896,0.014772257776234934,False,True,0.0008921795217498953,0.0022227911488500087,0.0003874792250253436,5.877774806698332e-05,0.00017308411634507336,2.0645663738250732,0.02838787787032538,0.01355088097077608,0.0435393954136218,True,False,0.33111111111111113,0.15797530864197534,0.48620987654320985,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,109,6,5,3,0.03,0.0,0.05,1.8991695625568356e-73,0.06211405512753998,True,1.6049926280975342,3.659201244331136e-05,0.0603586865103428,0.014621748137691126,False,True,0.0009047968353514009,0.001519157599922652,0.00053094150122313,6.74605828844583e-05,4.1771054633097766e-05,3.5111894607543945,0.06035868651034835,0.03809638837992683,0.08277385068528158,True,True,0.5014814814814814,0.35628395061728396,0.6345802469135803,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,110,6,5,3,0.03,0.0,0.05,5.501262209475191e-48,0.05040239230778224,True,1.3859484195709229,0.0029302407232638947,0.04949400751095752,0.016636849167328605,True,True,0.0009546486217870544,0.0022248110146862203,0.0007379086919477457,0.00010850530393321829,2.400193104087346e-05,3.7615668773651123,0.049494007510953834,0.026820167246975335,0.07435678738999485,True,True,0.3903703703703704,0.24785802469135804,0.5419814814814816,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,111,6,5,3,0.03,0.0,0.05,9.659779113708681e-45,0.04965847526276296,True,2.0538856983184814,0.040187952356422973,0.047750142877311226,0.023272184118123602,True,True,0.0008518830684360108,0.003344777303763021,0.0015064955061503639,0.00011303262919394358,5.124662514114191e-05,2.2643258571624756,0.047750142877269905,0.017551753321462978,0.07459031681399099,True,True,0.36246913580246914,0.193320987654321,0.507962962962963,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,112,6,5,3,0.03,0.0,0.05,1.2293183060982806e-85,0.06778400633601761,True,1.095597505569458,1.725867551864983e-08,0.06619291272329154,0.011741640894558834,False,True,0.0008809766013197901,0.00035599597125745056,0.0003373533974417455,1.87706876538103e-06,1.4594351522790905e-05,3.707566022872925,0.06619291272330512,0.03586492141589817,0.09594446561985118,True,True,0.7474074074074073,0.6451790123456789,0.8414876543209877,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,113,6,5,3,0.03,0.0,0.05,5.587047829400042e-44,0.04729488828394507,True,1.3398113250732422,0.04217694697194504,0.04155104180123677,0.02045066226797549,False,True,0.0009177018338350137,0.0039048761972315057,0.001131099429177553,0.0001246070690379708,5.200767513607899e-05,2.123901128768921,0.04155104180123958,0.018911873410922517,0.058901686357821684,True,True,0.3619753086419753,0.18987037037037038,0.5111172839506173,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,114,6,5,3,0.03,0.0,0.05,2.238021204348508e-47,0.04924964195789336,True,0.5678291320800781,3.0236220318839507e-05,0.04865819538652059,0.011663933136870412,False,True,0.0008830485003156842,0.0008116081431491783,0.0003132295102974761,5.0275282753414296e-06,3.003549862141051e-05,5.867078065872192,0.04865819538652632,0.020224999794139803,0.07605319651785049,True,True,0.5338271604938272,0.3975123456790123,0.6647839506172839,True
