ticker,n_months,rho_ols,rho_mu,h_ols_days,h_mu_days,s_x,sigma_V_daily
ETR,83,0.9226084137704679,0.9689983785739741,180.70789110208025,462.2105124933428,0.39748981812569045,0.045820491830707084
EVRG,68,0.9087844380895401,0.9729181756700924,152.1849802420962,530.1742586572954,0.1746112367044863,0.014428868413935711
EXC,163,0.9460666039726121,0.9679106447176625,262.5448273341999,446.29358730637466,0.40434332542537826,0.028929944432006482
EXPD,176,0.9724097108150918,0.995,520.2682357830029,2903.9340327072778,0.36178930227879524,0.013626307004497145
F,119,1.0111137737765623,0.995,inf,2903.9340327072778,0.7859685230639668,0.08400460887706314
FAST,167,0.987162191667102,0.995,1126.5517490354673,2903.9340327072778,0.39451788402326643,0.012607700319041643
FDS,162,0.9300242844069938,0.9509424001089369,200.65028440626426,289.37522810011365,0.18876033897549407,0.013473009235379394
FDX,114,0.993397774998152,0.995,2197.4389610929493,2903.9340327072778,0.6619525364300292,0.05334973835686163
FE,80,0.8562464336297797,0.8960815140662345,93.79102481641537,132.66108390996362,0.488836970946137,0.08451896555671455
FFIV,164,0.9487583703112851,0.9708083698091479,276.72583054910643,491.3252069271671,0.34362890410170843,0.013213454336577416
FHN,128,0.9072066528589613,0.9344131857675103,149.4695168956284,214.5759123330461,0.7208376508876967,0.049057164201725234
FICO,164,0.9725649816209578,0.995,523.254314295693,2903.9340327072778,0.28748278810745925,0.015450082188827227
FISV,176,0.9815394096421816,0.995,781.194764183343,2903.9340327072778,0.7212948089795427,0.026143962130780744
FITB,161,0.8612793221102434,0.8796907242806037,97.47181327497344,113.55544004244861,0.20643673669643295,0.018045476917066774
FLS,93,0.9809140328212475,0.995,755.3579017237684,2903.9340327072778,0.6520791238699472,0.028364004115346817
FMC,95,0.9227592676088884,0.9586759669323012,181.07542324112796,344.91350837774246,0.9981128599596554,0.07280618467604938
FOSL,75,0.9342322853952686,0.9838660349700818,213.96522073785127,894.9039315421402,0.5600679759791393,0.0829069074530512
FRT,117,1.0027606076379365,0.995,inf,2903.9340327072778,0.3701928865983176,0.019520086536480817
GE,60,0.864748125333128,0.9205922784839352,100.16784607478958,175.9298582724979,0.11528168071400387,0.029830972612311976
GEN,81,0.9094925804862766,0.9534714504665992,153.43449273547077,305.50629745069585,0.4071630866839585,0.0696273296008677
GHC,98,0.9039719976932876,0.9367991458189877,144.18124469134023,222.95754680832755,0.4584230930285903,0.06482662397301094
GILD,123,0.9423688408105831,0.972411067625253,245.22323449172032,520.2941836118011,0.6078302624477532,0.09211059845086753
GIS,178,0.9211029733676714,0.9388210076738611,177.11707215657214,230.57167397981826,0.249091252215189,0.020136360444825245
GL,164,0.9266425549359558,0.9473346795804762,191.0564527961926,269.04486633170563,0.295010284302468,0.0234973271607391
GLW,94,0.7985893158338881,0.8274544918808847,64.72006697097291,76.85322614100001,0.3660691235937839,0.06139844104470934
GPC,125,0.8929045298859576,0.9196278219045009,128.50154040237248,173.72890999181655,0.09333863683815809,0.047327615480785644
GS,125,0.9250475029637679,0.9539573077840086,186.8316727492451,308.80812630286454,0.3487125965266071,0.030730970259973116
GT,106,0.8519120971330455,0.8814689484419242,90.82121120630579,115.37298531279511,0.7451679749733058,0.10611192412740564
GWW,177,0.9070099359965627,0.9243079937915099,149.1374107392722,184.9333322077342,0.14518194348945684,0.014326607037788607
HAL,70,0.9438488066637899,0.995,251.88216140452803,2903.9340327072778,0.5436315930287,0.04668794426141789
HAS,147,0.9233057618342819,0.9467368062775745,182.41897173610698,265.9416707246879,0.3784445830485007,0.034102349223932904
HBAN,165,0.8668330884566886,0.8853909789670831,101.85577816018987,119.58083797288063,0.24605023563094117,0.020858361938374193
HD,175,0.9168322125200895,0.9344203588265316,167.63741849030995,214.60019688566658,0.12033334257805836,0.012089869450083456
HOG,164,0.8239779943646738,0.8410472494591379,75.18197086737793,84.08703259808361,0.8897683633395145,0.11568071536602154
HON,177,0.8999297048338784,0.917102389128217,138.05273795928562,168.20819653898786,0.28701888986659585,0.029650720760941007
HP,78,0.9751512692859208,0.995,578.479533998104,2903.9340327072778,0.5944227771074198,0.07860203036308568
HPQ,133,0.9083305307494709,0.9308564526183917,151.3942085704506,203.15492249005482,0.2992349971232914,0.024797960250443073
HRB,108,0.8723282896403416,0.9034712563603021,106.56819478944867,143.39424508845457,0.3553980608141901,0.03895024335383314
HRL,157,0.9691800512269994,0.9945812102907986,464.9784333766396,2678.9408075563542,0.2964978447616806,0.011228442050837086
HSIC,167,0.9639712373269774,0.9882654269177679,396.6905095004654,1233.1524901676098,0.2686418635723813,0.018287698678922253
HST,75,0.8712728615087846,0.9116596482604551,105.63194935018815,157.38262297017974,0.26851801872291076,0.03156698181399339
HUBB,165,0.8095208446199873,0.8264035221637495,68.88410833955001,76.34095842157005,0.10697969440577354,0.013014878056882357
HUM,177,0.9017183742196667,0.9189227314547858,140.7024095701257,172.15296476630297,0.3146701411110136,0.02740867384711342
IBM,177,0.9438887635855574,0.9625459609764535,252.06681115389762,381.31439791151166,0.5112393436469593,0.03729560053564104
IDXX,165,0.9820650300634409,0.995,804.3038599112856,2903.9340327072778,0.440881255484525,0.013811133858284984
IEX,164,0.9035080435366644,0.9223276999296038,143.45178460309904,180.02777295283732,0.4027201880358662,0.039350813949126866
IFF,138,0.9571169404045029,0.9847123718768034,332.105643446901,944.8516762565779,0.4056084211033269,0.024640915618873518
INTC,155,0.8778837019334945,0.8967330678001781,111.76260776338286,133.54573842080939,0.2717918514150729,0.034935085900160125
INTU,176,0.8796327183182591,0.8963308582777819,113.49705458027198,132.99832175271519,0.33416456704585806,0.031847926039320816
IP,170,0.9377037498162752,0.9592110411528647,226.3031187782071,349.5349456976099,0.5411940681226637,0.04460203683805783
IRM,126,0.8528267643663069,0.8775686116583639,91.4333962037493,111.45540235433812,0.45740463614391697,0.05177625548405961
IT,78,1.0213985634575682,0.995,inf,2903.9340327072778,0.27823514264968974,0.030183033946835858
ITT,173,0.9317465886881908,0.9497883306318259,205.9016049017014,282.554047698009,0.5258102918854871,0.04105167577769483
ITW,176,0.9160603931721027,0.9336250658927239,166.02709238205017,211.93967196567243,0.20184660451110734,0.020335041360576563
IVZ,165,0.9539043749482522,0.9769401728907533,308.44502316445886,623.9252221616437,0.4036965868584457,0.018979792065031448
J,177,0.9228161121768228,0.9405862487151795,181.21428874349985,237.64297654925102,0.31256651167514016,0.028567132326801532
JBHT,165,0.9283703910063337,0.9492218821876565,195.84512865023413,279.3194442653653,0.22417554693496072,0.01674743829656885
JBL,163,0.9215607938092786,0.941784203460809,178.1945021407822,242.68599209147655,0.5902726695398938,0.05032346250049146
JCI,89,0.9002012041338671,0.9432052338146019,138.44881908569363,248.94385250362924,0.5602433806098595,0.06240645434117854
JEF,98,0.8384422237653256,0.8676404626517913,82.6066822178476,102.52366401236124,1.110972292158714,0.13970632872370373
JKHY,164,0.9066247441761516,0.9254705309476261,148.4911620197997,187.93452694662298,0.14756616848378815,0.013140368667636303
JNJ,176,0.9131304885574972,0.9306060531628612,160.17444634751106,202.39496136652056,0.6882077268642932,0.06294111528111458
JPM,176,0.8485381749716064,0.864289566570644,88.6268430030483,99.8035536617237,0.1695358569888915,0.01624570625685149
KBH,132,0.8842807538621117,0.9061766798116051,118.36080065934736,147.7461006379588,0.7506278736648894,0.06757246677288399
KEY,122,1.0438506963932028,0.995,inf,2903.9340327072778,0.7103134604203409,0.08195854707346396
KIM,170,0.9742160038270743,0.995,557.2300199869491,2903.9340327072778,0.7863455056240767,0.032631942753023474
KLAC,165,0.9342105064597875,0.9551539615552387,213.8919248418885,317.24548952982155,0.3080268869977956,0.021528943639693834
KMB,176,0.9277186490980954,0.9456378880416485,194.0119560090551,260.4158431130565,0.315554410895941,0.024724257484713043
KMX,162,0.9143102681625357,0.9338649273567008,162.48302192537483,212.73535365941424,0.25392838183630156,0.016952361327113682
KO,159,0.9283679225093243,0.9492191860094299,195.83812253692616,279.30422073475705,0.48431149787666466,0.037134563105142425
KR,138,0.9111539386573774,0.933850510997041,156.4440672262967,212.68736799567853,0.31370322915595056,0.027185312856832317
KSS,123,0.719358721535825,0.7402409062373753,44.19036451212025,48.3945418735469,0.3436365559664293,0.046859789638094826
LEG,153,0.9540742287918587,0.9771169103169809,309.6131345667618,628.8007553589318,0.38233397456707435,0.024263843055087768
LEN,162,0.9436981915956434,0.9655072429652632,251.1884912038556,414.68364801213613,0.6039701010695989,0.03715209189141636
LH,177,0.9452576954221064,0.9639743815269284,258.55571471288476,396.72577441566153,0.4150256628903991,0.032195656322662455
LHX,84,0.8527630809490137,0.8923856439923012,91.39052723536508,127.84548272401105,0.5105149176005844,0.08485306804592516
LII,155,0.9086693842280419,0.9277037578739679,151.98379684525233,193.97045707643926,0.19480234394243126,0.01729630115223332
LIN,65,0.8519904278942864,0.9065713780176423,90.87334227543643,148.4020478224065,0.31862658974812125,0.03731533801002449
LLY,74,0.8990986683677619,0.9419477070643884,136.85360153654116,243.39042831378896,0.7314981505700558,0.04317833726266
LMT,177,0.9387900998249538,0.9570416978864937,230.45149352192624,331.5110161341499,0.274204389176894,0.020912208118715615
